"Ticker","Nome","Negócios","Última (R$)","Variação"
"NGRD3","Neogrid","2.491.700","1,12","-0,88%"
"CBAV3","CBA","2.481.300","6,81","-1,87%"
"GGPS3","GPS","2.466.100","16,98","-2,02%"
"INTB3","Intelbras","2.457.300","21,88","-2,63%"
"PSSA3","Porto Seguro","2.444.500","30,93","+0,26%"
"BRKM5","Braskem","2.408.500","18,41","-3,96%"
"GUAR3","Guararapes","2.370.200","7,14","-7,03%"
"CLSA3","ClearSale","2.354.400","7,13","-2,06%"
"ALPA4","Alpargatas","2.335.000","8,91","-3,99%"
"SAPR4","Sanepar","2.204.200","5,38","-1,82%"
"EZTC3","EZTEC","2.163.700","14,30","-2,59%"
"ODPV3","Odontoprev","2.156.700","11,79","-1,50%"
"ARZZ3","Arezzo","2.114.800","52,58","-2,45%"
"SMFT3","Smart Fit","2.102.400","22,30","-2,19%"
"RECV3","PetroRecôncavo","2.096.500","20,84","-2,02%"
"SRNA3","Serena Energia","2.072.300","8,92","-3,67%"
"HYPE3","Hypera","2.017.200","28,17","-2,12%"
"SMTO3","São Martinho","1.920.300","32,20","-0,25%"
"TTEN3","3tentos","1.843.900","10,80","-0,92%"
"SBFG3","Grupo SBF","1.805.700","13,94","-4,39%"
"VIVT3","Vivo","1.642.600","49,39","-0,96%"
"PGMN3","Pague Menos","1.632.600","2,82","-5,69%"
"CURY3","Cury","1.550.400","21,50","-1,24%"
"PLPL3","Plano&Plano","1.511.500","11,14","-3,13%"
"ENAT3","Enauta","1.411.700","21,78","-1,58%"
"ELET6","Eletrobras","1.404.300","42,26","-2,18%"
"MILS3","Mills","1.382.300","11,27","-1,57%"
"ARML3","Armac","1.320.200","9,79","-3,45%"
"MTRE3","Mitre Realty","1.296.100","4,00","-6,32%"
"ENJU3","Enjoei","1.292.800","1,98","-1,00%"
"CSMG3","COPASA","1.264.100","20,34","-1,31%"
"BRSR6","Banrisul","1.238.000","11,79","-1,50%"
"MDIA3","M. Dias Branco","1.220.700","28,81","+0,28%"
"MYPK3","Iochpe-Maxion","1.219.000","11,95","-4,02%"
"EGIE3","Engie","1.196.100","46,07","-0,99%"
"FIQE3","Unifique","1.143.900","3,36","-1,75%"
"FESA4","Ferbasa","1.136.400","8,83","-1,89%"
"AZEV3","Azevedo & Travassos","1.115.000","1,60","-3,03%"
"DASA3","Dasa","1.062.600","3,49","-5,68%"
"GRND3","Grendene","996.900","6,05","-1,79%"
"KEPL3","Kepler Weber","993.700","10,17","-0,88%"
"TUPY3","Tupy","990.400","25,79","-2,83%"
"RANI3","Irani","989.900","8,84","-4,12%"
"CPFE3","CPFL Energia","938.500","33,32","-1,13%"
"KLBN4","Klabin","933.200","4,26","-1,16%"
"EVEN3","Even","912.000","6,34","-2,76%"
"JSLG3","JSL","909.200","9,71","-5,91%"
"CAML3","Camil Alimentos","848.000","8,87","-1,77%"
"LEVE3","Mahle Metal Leve","771.100","33,28","-4,26%"
"IRBR3","IRB Brasil RE","750.100","31,40","-2,91%"
"OPCT3","OceanPact","713.200","6,43","-5,30%"
"PTBL3","Portobello","697.900","4,76","-4,03%"
